Upphandling;Positionsnr;Varuområde;Huvudgrupp;Varugrupp;Leverantör;Lev. Artnr;Artikelnamn;Producent;Märke;Innehåll;Fsgenhet;Kronor;Kilo;kr/kg;Färdigmängd kr/kg;% Utanför avtal;Ekologisk;MSC;Kravmärkt;Etisk;Fairtrade;Närproducerat;Produktens Tillverkningsland;Råvarans ursprungsland
-;-;Djupfryst;Desserter/mellanmål;Ostkaka;Skafferi Värmland;3075;Ostkaka 1.3kg;Mor Carins;Mor Carins;1 x 1.3 KG;ST;  858,00;  7,80;  110,00;  110,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Djupfryst;Frukt/bär;Blåbär;Skafferi Värmland;2003;Blåbär 2.5kg;Skafferi Värmland;Skafferi Värmland;1 x 2.5 KG;ST;  247,38;  6,25;  39,60;  39,60;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Djupfryst;Frukt/bär;Lingon;Skafferi Värmland;777;Lingon Färskfrysta 2.5kg;Skafferi Värmland;Skafferi Värmland;1 x 2.5 KG;ST;  3931,25;  106,25;  37,00;  37,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Djupfryst;Kött oberett;Bacon;Skafferi Värmland;K70400;Bacon Skivat Torrsaltat 600g;August Larsson Chark Hemgården;Hemgården;1 x 0.6 KG;KG;  1093,11;  10,22;  107,00;  107,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Djupfryst;Kött oberett;Fransyska;Skafferi Värmland;K8109;Fransyska Bit  Nätad;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  1885,46;  19,05;  99,00;  99,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Djupfryst;Kött oberett;Nötfärs;Skafferi Värmland;1236587;Nötfärs 10% ref 00820082;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  36243,58;  385,57;  94,00;  94,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Djupfryst;Kött oberett;Nötkött strimlat;Skafferi Värmland;148967;Nötkött Strimlat;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  15346,65;  139,52;  110,00;  110,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Djupfryst;Kött oberett;Viltfärs;Skafferi Värmland;1204;Hjortfärs 5kg SE;Skafferi Värmland;Skafferi Värmland;1 x 5. KG;KG;  6308,28;  44,00;  143,40;  143,40;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Djupfryst;Köttprodukter;Grillkorv;Skafferi Värmland;K1276;Grillkorv 900g;August Larsson Chark Hemgården;Hemgården;1 x 0.9 KG;ST;  550,00;  10,80;  50,90;  50,90;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Djupfryst;Köttprodukter;Kassler;Skafferi Värmland;K7013;Kassler Alvedsrökt 1/2 Rad 2kg;August Larsson Chark Hemgården;Hemgården;1 x 2. KG;KG;  535,34;  6,02;  89,00;  89,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Frukt/bär;Päron;Skafferi Värmland;17803;Päron Conference;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  535,50;  21,00;  25,50;  25,50;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Färskvaror/Kylvaror;Frukt/bär;Äpplen;Skafferi Värmland;14790;Äpplen Rubinola Krav;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  1600,00;  40,00;  40,00;  40,00;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Färskvaror/Kylvaror;Frukt/bär;Äpplen;Skafferi Värmland;14791;Äpple Aroma Krav;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  7759,00;  206,00;  37,70;  37,70;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Färskvaror/Kylvaror;Frukt/bär;Äpplen;Skafferi Värmland;14792;Äpple Ingrid Marie Krav;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  3200,00;  80,00;  40,00;  40,00;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Färskvaror/Kylvaror;Fågelprodukter;Kycklingkorv;Skafferi Värmland;1500;Kycklingkorv;August Larsson Chark Hemgården;Hemgården;1 x 1. KG;KG;  7614,60;  205,80;  37,00;  37,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Champinjoner;Skafferi Värmland;485;Wermlandsodlarna Champinjoner ca3kg;Skafferi Värmland;Skafferi Värmland;1 x 3. KG;KG;  17776,20;  86,00;  206,70;  206,70;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Gulbetor;Skafferi Värmland;3088;Gulbetor Krav ca10kg;Skafferi Värmland;Skafferi Värmland;1 x 10. KG;ST;  1290,00;  70,00;  18,40;  18,40;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Gulbetor;Skafferi Värmland;K3088;Gulbetor Krav 6kg;Torfolk & Vänner;Torfolk & Vänner;1 x 6. KG;ST;  1089,00;  54,00;  20,20;  20,20;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Kålrot;Skafferi Värmland;12008;Kålrötter Lv SE;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  506,00;  22,00;  23,00;  23,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Kålrot;Skafferi Värmland;12460;Kålrot Krav;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  1200,00;  60,00;  20,00;  20,00;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Lök gul;Skafferi Värmland;12011;Lök Gul Lv EU ;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  75,50;  10,00;  7,60;  7,60;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;EUROPEISKA UNIONEN
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Lök gul;Skafferi Värmland;12030;Lök Gul SE;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  2868,22;  293,08;  9,80;  9,80;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Lök gul;Skafferi Värmland;3701;Lök Gul Krav 10kg;Torfolk & Vänner;Torfolk & Vänner;1 x 10. KG;ST;  1000,00;  50,00;  20,00;  20,00;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Morötter;Skafferi Värmland;1580;Morot Krav Tv 10kg;Skafferi Värmland;Skafferi Värmland;1 x 10. KG;ST;  14616,00;  1120,00;  13,10;  13,10;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Morötter;Skafferi Värmland;15900;Morot Tv 10kg SE;Skafferi Värmland;Skafferi Värmland;1 x 10. KG;ST;  500,00;  40,00;  12,50;  12,50;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Färskvaror/Kylvaror;Grönsaker obehandlade;Morötter;Skafferi Värmland;159875;Morot Lv Tv SE;Skafferi Värmland;Skafferi Värmland;1 x 1. KG;KG;  69,00;  5,00;  13,80;  13,80;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
